movie_name,target,movie_description,id
Pompeii,0,"In 79 A.D., Pompeii, a bustling port city, stands in the shadow of Mount Vesuvius. Milo (Kit Harington), a former slave, is a gladiator who has caught the eye of Cassia (Emily Browning), a wealthy merchant's daughter. However, their difference in social status is not the only obstacle to their love; Cassia has been promised to Corvus (Kiefer Sutherland), a corrupt Roman senator. When the eruption of Mount Vesuvius rains lava and ash down on the city, Milo races to save her before it's too late.",133534499366945747916935644228665572710
Howard the Duck,0,"In this film based on the comic book character, Howard the Duck is suddenly beamed from Duckworld, a planet of intelligent ducks with arms and legs, to Earth, where he lands in Cleveland. There he saves rocker Beverly (Lea Thompson) from thugs and forms a friendship with her. She introduces him to Phil (Tim Robbins), who works at a lab with scientist Dr. Jenning (Jeffrey Jones). When the doctor attempts to return Howard to his world, Jenning instead transfers an evil spirit into his own body.",133534504912917123915439275776742096230
One Way,0,"No wrong turn goes unpunished in this wildly entertaining action-packed thrill ride starring Colson Baker, Travis Fimmel, and Kevin Bacon. After stealing from the biggest mob boss in town, Freddy (Baker) is badly wounded and on the run with a one way ticket to salvage what is left of his crime-ridden life, for one last shot at redemption with his family.",133534510458888499913942907324818619750
Spy Kids 3: Game Over,0,"Pint-sized kid spy Juni Cortez (Daryl Sabara) faces his biggest challenge yet when he confronts the Toymaker (Sylvester Stallone), a ruthless villain sentenced to virtual prison by the Organization of Super Spies. The Toymaker has captured Juni's sister, OSS agent Carmen (Alexa Vega), and is holding her inside a virtual reality environment called ""Game Over."" Now Juni must use his cunning to advance to the nearly impossible ""Level Five"" in order to rescue his sister.",133534516797141501055089914808334646630
Snow White and the Huntsman,0,"Queen Ravenna (Charlize Theron), who seized control of her kingdom by marrying and killing its rightful ruler, needs the life force of young maidens to maintain her beauty. However, to become truly immortal, Ravenna must consume the heart of her stepdaughter Snow White (Kristen Stewart). Snow escapes, and Ravenna dispatches a huntsman (Chris Hemsworth) to capture her. But Snow, the Huntsman and a rebel army join forces to destroy Ravenna and restore the balance of life and death.",133534539773308630191747816936080244070
Carter,0,"Two months into a deadly pandemic originating from the DMZ that has devastated the US and North Korea, ""Carter"" awakens, with no recollections of his past. In his head is a mysterious device, and in his mouth, a lethal bomb. A strange voice in his ears gives him orders. The bomb may go off at any time -- unless he rescues the girl who is the sole antidote to the virus. But the CIA and a North Korean coup are hot on his heels.",133534546111561631332894824419596270950
Thunderball,0,"Led by one-eyed evil mastermind Emilio Largo (Adolfo Celi), the terrorist group SPECTRE hijacks two warheads from a NATO plane and threatens widespread nuclear destruction to extort 100 million pounds. The dashing Agent 007, James Bond (Sean Connery), is sent to recover the warheads from the heart of Largo's lair in the Bahamas, facing underwater attacks from sharks and men alike. He must also convince the enchanting Domino (Claudine Auger), Largo's mistress, to become a key ally.",133534552449814632474041831903112297830
The Finest Hours,0,"On Feb. 18, 1952, a massive storm splits the SS Pendleton in two, trapping more than 30 sailors inside the tanker's sinking stern. Engineer Ray Sybert bravely takes charge to organize a strategy for his fellow survivors. As word of the disaster reaches the Coast Guard in Chatham, Mass., Chief Warrant Officer Daniel Cluff orders a daring rescue mission. Despite the ferocious weather, coxswain Bernie Webber takes three men on a lifeboat to try and save the crew against seemingly impossible odds.",133534564334039009613692470934704848230
Titanic II,0,History threatens to repeat itself when a new luxury liner sets sail to commemorate the 100th anniversary of the original's doomed voyage.,133534569880010385612196102482781371750
Body of Lies,0,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.",133534576218263386753343109966297398630
The Tomorrow Job,0,"Lee and his team are in the business of stealing secrets before they exist. The new pill, Z+, allows the user to trade their consciousness with their tomorrow-self for one hour. To operate effectively and safely, the team uses a strict set of time travel rules to make as little temporal impact as possible. But when a job goes wrong, Lee and company must now find a way to right their wrongs to save their past, present, and future.",133534581764234762751846741514373922150
Resident Evil: Apocalypse,0,"A deadly virus from a secret Umbrella Corporation laboratory underneath Raccoon City is exposed to the world. Umbrella seals off the city to contain the virus, creating a ghost town where everyone trapped inside turns into a mutant zombie. Alice (Milla Jovovich), a survivor from Umbrella's secret lab, meets former Umbrella security officer Jill Valentine (Sienna Guillory) and mercenary Carlos Oliviera (Oded Fehr). Together, they search for a scientist (Jared Harris) who might be able to help.",133534588102487763892993748997889949030
Shaft,0,"John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.",133534593648459139891497380545966472550
The Big Hit,0,"Affable hit man Melvin Smiley (Mark Wahlberg) is constantly being scammed by his cutthroat colleagues in the life-ending business. So, when he and his fellow assassins kidnap the daughter of an electronics mogul, it's naturally Melvin who takes the fall when their prime score turns sour. That's because the girl is the goddaughter of the gang's ruthless crime boss. But, even while dodging bullets, Melvin has to keep his real job secret from his unsuspecting fiancée, Pam (Christina Applegate).",133534603155838641603217891771240512870
The Next Three Days,0,"Life for John and Lara Brennan (Russell Crowe, Elizabeth Banks) is miserable after she is convicted of a murder she says she did not commit. Three years later while struggling with the demands of work and raising his son alone, John is still trying to establish her innocence. When her final appeal is rejected, Lara becomes suicidal, forcing John to exercise the only option he has left: Break her out of prison.",133534609494091642744364899254756539750
Aliens vs. Predator: Requiem,0,"Residents (Steven Pasquale, Reiko Aylesworth, John Ortiz) of Gunnison, Colorado, are caught up in the crossfire when two deadly extraterrestrial species bring their longstanding conflict to Earth. On the one side, nearly indestructible Aliens; on the other, a lone Predator whose mission is to wipe out all traces of the Alien infestation from Earth, no matter who gets in the way.",133534615040063018742868530802833063270
Superman II,0,"Superman (Christopher Reeve) foils the plot of terrorists by hurtling their nuclear device into outer space, but the bomb's shock waves free the Kryptonian villain General Zod (Terence Stamp) and his henchmen Ursa (Sarah Douglas) and Non (Jack O'Halloran) from their imprisonment. Traveling to Earth, they threaten the planet with destruction at the same time that Superman decides to renounce his superpowers in order to live a normal life as Clark Kent with his new love, Lois Lane (Margot Kidder).",133534626924287395882519169834425613670
Company of Heroes,0,"During World War II, a group of American soldiers heads to the heart of Nazi Germany to find a scientist who developed a devastating weapon for Hitler and now wants to defect.",133534638808511773022169808866018164070
Hansel & Gretel: Witch Hunters,0,"Fifteen years after Hansel (Jeremy Renner) and Gretel (Gemma Arterton) defeated the wicked witch who planned to have them for her dinner, the siblings have come of age as skilled bounty hunters. Hell-bent on retribution, they have dedicated their lives to hunting down and destroying every witch still lurking in the dark forests of their homeland. As the notorious blood moon approaches, the siblings face a great evil -- one that could hold the secret to their terrifying past.",133534645146764774163316816349534190950
The Spirit,0,"Apparently murdered cop Denny Colt (Gabriel Macht) returns as the Spirit, dedicated to protecting Central City from crime. His archenemy, the Octopus (Samuel L. Jackson), is a ruthless killer who will destroy the Spirit's well-loved city to find the secret of immortality. As the Spirit pursues his quarry, he meets many beautiful women who would be happy to either kiss or kill him.",133534650692736150161820447897610714470
Eagle Eye,0,"Jerry Shaw (Shia LaBeouf) and Rachel Holloman (Michelle Monaghan) are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",133534661784678902158827710993763761510
Resident Evil: The Final Chapter,0,"The T-virus unleashed by the evil Umbrella Corp. has spread to every corner of the globe, infesting the planet with zombies, demons and monsters. Alice (Milla Jovovich), a former Umbrella employee turned rogue warrior, joins her friends on a last-chance mission to storm the company's headquarters located deep underneath what used to be Raccoon City. But the Red Queen (Ever Anderson) knows that Alice is coming, and the final battle will determine if the rest of mankind lives or dies.",133534668122931903299974718477279788390
Days of Thunder,0,"In the fast-paced world of NASCAR, a rivalry brews between rookie hotshot Cole Trickle (Tom Cruise) and veteran racer Rowdy Burns (Michael Rooker). When both of them are seriously injured in competition, the former bitter rivals become close friends. With Cole's spirits restored by a romance with neurosurgeon Dr. Claire Lewicki (Nicole Kidman), and Rowdy still sidelined by injuries, Cole decides to race Rowdy's car in the Daytona 500 against underhanded newcomer Russ Wheeler (Cary Elwes).",133534673668903279298478350025356311910
Into the Deep,0,"In this intense action-thriller, Jess (Ella-Rae Smith) is swept off her feet by a mysterious stranger named Ben (Matthew Daddario), who takes her to his boat that's docked nearby. Dangerously adrift miles from shore, their romance is interrupted when Lexie (Jessica Alexander) shows up, and soon the three get wasted and play sexy games. When the party takes a sudden turn for the worse, it's clear that either Ben or Lexie is a dangerous liar. In the explosive climax, Jess must decide which one to help... and which one to destroy.",133534680007156280439625357508872338790
Predator 2,0,"Los Angeles is enduring a heat wave and a crime wave, so the pressure on police officer Michael Harrigan (Danny Glover) to solve a strange string of murders is mounting. Harrigan thinks the culprit can be found among the warring gangs and drug cartels, but FBI Special Agent Peter Keyes (Gary Busey) knows the horrible truth: Their killer is a fearsome extraterrestrial (Kevin Peter Hall) with keen hunting abilities that include superior night vision and the power to make itself invisible.",133534685553127656438128989056948862310
S.W.A.T.,0,"Hondo Harrelson (Samuel L. Jackson) recruits Jim Street (Colin Farrell) to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay (LL Cool J) and single mom Chris Sanchez (Michelle Rodriguez). The team's first big assignment is to escort crime boss Alex Montel (Olivier Martinez) to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize.",133534691891380657579275996540464889190
Rim of the World,0,"Summer camp has barely begun when aliens suddenly invade the planet. In a campground once teeming with people, four misfit teens are unexpectedly entrusted with a key that carries the secret to stopping the invasion. Without any adults or electronics to help guide the way, it's clear what they must do: band together, conquer their fears and save the world.",133534702983323409576283259636617936230
Cosmic Sin,0,"Bruce Willis and Frank Grillo star in the new epic sci-fi adventure set in the year 2524, four hundred years after humans started colonizing the outer planets. Retired Military General James Ford (Willis) is called back into service after soldiers on a remote planet are attacked by a hostile alien fleet. The threat against the human race escalates into an inevitable interstellar war. General Ford teams up with General Eron Ryle (Grillo) and a team of elite soldiers in a race to stop the imminent attack before it is too late.",133534709321576410717430267120133963110
Black and Blue,0,"A rookie policewoman in New Orleans inadvertently captures the shooting death of a young drug dealer on her body cam. After realizing the murder was committed by corrupt cops, she teams up with the only person from the community who's willing to help her. Now, she finds herself on the run from both the vengeful criminals and the lawmen who desperately want to destroy the incriminating footage.",133534721205800787857080906151726513510
Surrogates,0,"In the near future, people live their lives free of pain, danger and complications through robotic representations of themselves, called surrogates. When the first murder in more than a decade rocks this near-perfect society, FBI Agent Greer (Bruce Willis) discovers a vast conspiracy and must abandon his own surrogate to solve the crime, risking his own life in the process.",133534726751772163855584537699803037030
As Good as Dead,0,"Bryant befriends a troubled teen and introduces him to martial arts. As Bryant's mysterious and dangerous past catches up to him, he is forced into a life and death struggle to clear his name, save the boy and get back all he left behind.",133534733090025164996731545183319063910
Act of Valor,0,"When its latest mission leads to the discovery of a deadly terrorist plot against the U.S., an elite team of Navy SEALs sets out on a global manhunt. As the men of Bandito Platoon race to stop an attack that could kill or maim thousands of American civilians, they must balance their commitment to their duty and family back home. Each new piece of intelligence they gather reveals a shocking twist to the plot as they track the terrorist ring to the U.S.- Mexico border.",133534744181967916993738808279472110950
Along With the Gods: The Two Worlds,0,Three grim reapers escorts a man to the afterlife and will decide his fate based on what he had done when he was alive.,133534750520220918134885815762988137830
The Dukes of Hazzard,0,"Bo (Seann William Scott) and Luke Duke (Johnny Knoxville) are a pair of good-ol'-boy brothers who tear through rural Hazzard County, Ga., transporting moonshine for their kindhearted Uncle Jesse (Willie Nelson) in their tricked-out car, the General Lee. When they learn that corrupt political kingpin Boss Hogg (Burt Reynolds) is evicting farmers so he can sell their land to an evil coal mining operation, the boys and their comely cousin Daisy (Jessica Simpson) decide to fight back.",133534773496388047271543717890733735270
The Villainess,0,"Honed from childhood to be an elite assassin, Sook-hee embarks on a rampage of violence and revenge to finally earn her freedom and escape her past.",133534779834641048412690725374249762150
Behind Enemy Lines,0,"A Navy pilot (Owen Wilson) is shot down over enemy territory, and struggles to survive the relentless pursuit of a ruthless secret police enforcer, a deadly tracker, and countless hostile troops. With time running out, the injured pilot's commanding officer (Gene Hackman) goes against orders to carry out a desperate rescue mission.",133534797264836801550844995953918836070
The Taking of Pelham One Two Three,0,"In New York City, a criminal gang led by the ruthless ""Mr. Blue"" (Robert Shaw) hijacks a subway car and threatens to start shooting one passenger per minute unless they receive a million dollars in cash from the city within an hour. On the other end of the line, crusty veteran transit policeman Zachary Garber (Walter Matthau) has his hands full dealing with the mayor's office and his hotheaded fellow cops, while also trying to deliver the ransom before the deadline expires.",133534802810808177549348627501995359590
Conan the Barbarian,0,"A powerful Cimmerian warrior, Conan (Jason Momoa) carves a bloody path across the land of Hyboria on a personal vendetta. That soon turns into a an epic battle against evil, for Conan's mortal enemy, Khalar Zym (Stephen Lang), seeks the legendary Mask of Acheron. The artifact will enable Khalar Zym to raise his wife from the dead and achieve immortality for himself, but it will also unleash a malevolent force upon the land, and only Conan and his companions can stop it.",133534809941342803833139010920950889830
Midnight Run,0,"When Eddie Moscone (Joe Pantoliano) hires tight-lipped bounty hunter Jack Walsh (Robert De Niro) to locate a mob accountant named ""The Duke"" (Charles Grodin) and bring him to L.A., Eddie tells Jack that the job will be simple, or a ""midnight run."" But when Jack finds The Duke, the FBI and the mob are anxious to get their hands on him. In a cross-country chase, Jack must evade the authorities, hide from the mob and prevent The Duke's erratic personality from driving him mad.",133534816279595804974286018404466916710
The Jackal,0,"During an FBI raid on a Moscow nightclub, the brother of Russian gangster Terek Murad (David Hayman) is killed. Murad wants revenge and hires anonymous hit man the Jackal (Bruce Willis) to kill FBI Deputy Director Carter Preston (Sidney Poitier). With the help of Russian agent Valentina Koslova (Diane Venora), Preston finds the only man who knows what the notorious Jackal looks like, imprisoned IRA terrorist Declan Mulqueen (Richard Gere), and forces him to help hunt down the hit man.",133534822617848806115433025887982943590
The Bourne Supremacy,0,"Jason Bourne (Matt Damon) is living in India when he is framed by Russian agent Kirill (Karl Urban) for the theft of millions from the CIA. Kirill begins to pursue Bourne, intending to assassinate him -- but while Bourne and his girlfriend, Marie (Franka Potente), are on the run, a shot meant for him kills her instead. Vowing revenge, Bourne sets out to prove his innocence and bring the culprits to justice, but he has to evade CIA head Pamela Landry (Joan Allen), who is convinced he is guilty.",133534828163820182113936657436059467110
In Jesus Name,0,"When a family visits a state park, the wife is abducted by a ruthless stranger, and her husband must rely on God to find her in time.",133534837671199683825657168661333507430
Broken Arrow,0,"Air Force pilots Vic Deakins (John Travolta) and Riley Hale (Christian Slater) are sent on an overnight top-secret mission with two nuclear weapons aboard their aircraft. But, after they are in the air, Deakins changes the plan. He attempts to kill Hale and then steals the weapons with the intent of selling them to terrorists. However, Hale survives the crash and meets up with park ranger Terry Carmichael (Samantha Mathis). Together, Hale and Terry attempt to thwart Deakins' plan.",133534850347705686107951183628365561190
The Roundup,0,"“You feeling it? We have to get this guy” 4 years after the events of Garibong district round up operation, Geumcheon Police’s Major Crimes Unit is given a mission to repatriate a fugitive who fled to Vietnam. Beast cop Ma Seok-do and Capt. Jeon Il-man intuitively realize that there’s something wrong with the suspect’s willingness to turn himself in and uncover crimes committed by a terrifying killer named Kang Hae-sang. Ma and his unit begin their investigation across two countries and follow the bloody breadcrumbs left behind by Kang… No borders in catching the bad! Another exciting and tension-filled round up!",133534856685958687249098191111881588070
The Weapon,0,"Tony Schiena is Dallas, a one-man killing machine on a mysterious rampage. His attacks on biker gangs and meth labs anger the Vegas mob boss who's holding Dallas's girlfriend hostage. But who is Dallas working for? Even torture won't make him talk...and he won't stop until justice is served.",133534862231930063247601822659958111590
Assault on Precinct 13,0,"When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way of a bloody war waged against cops and citizens alike. Caught in the crossfire is Lt. Ethan Bishop (Austin Stoker), who's managing a skeleton crew at the local and soon-to-be-closed police precinct. As the gang members close in, Bishop forms an unlikely alliance with a group of prisoners in order to defend the station and the lives of everyone in it.",133534880454407441528399469175066688870
Raees,0,"Threat looms over bootlegger Raees Alam and his business after ACP Majmudar decides to get the better of him. In order to survive and keep his trade thriving, Raees must overcome these obstacles.",133534886000378817526903100723143212390
Crank: High Voltage,0,"After surviving an incredible plunge to near-certain death, Chev Chelios (Jason Statham) is abducted by Chinese mobsters. Waking up three months later, Chev finds that his nearly indestructible heart has been replaced with a battery-operated device that requires regular jolts of electricity or it will fail. Chev escapes from his captors, reunites with his lover, Eve (Amy Smart), and sets out on a frantic chase through Los Angeles to get his real heart back.",133534891546350193525406732271219735910
Close,0,"After an attempted kidnapping, a counter-terrorism expert is assigned to safeguard a wealthy young heiress.",133534897884603194666553739754735762790
Mortal Kombat Annihilation,0,"Every generation, a portal opens up between the Outerworld and Earth. Emperor Shao-Kahn (Brian Thompson), ruler of the mythical Outerworld, pounces the moment the portal reopens and slips through with his mighty warriors, intent on total domination and uniting the two worlds. However, he has only seven days to complete his task. In the meantime, opposition grows and warriors Sonya Blade (Sandra Hess), Jax (Lynn ""Red"" Williams), Kitana (Talisa Soto) and Liu Kang (Robin Shou) get ready for war.",133534909768827571806204378786328313190
You Only Live Twice,0,"During the Cold War, American and Russian spacecrafts go missing, leaving each superpower believing the other is to blame. As the world teeters on the brink of nuclear war, British intelligence learns that one of the crafts has landed in the Sea of Japan. After faking his own death, secret agent James Bond (Sean Connery) is sent to investigate. In Japan, he's aided by Tiger Tanaka (Tetsuro Tamba) and the beautiful Aki (Akiko Wakabayashi), who help him uncover a sinister global conspiracy.",133534915314798947804708010334404836710
Licence to Kill,0,"James Bond (Timothy Dalton) takes on his most-daring adventure after he turns renegade and tracks down one of the international drug cartel's most-brutal and powerful leaders. After the murder of his just-married friend, he is fighting not only for country and justice, but for personal revenge!",133534921653051948945855017817920863590
Live and Let Die,0,"When Bond (Roger Moore) investigates the murders of three fellow agents, he finds himself a target, evading vicious assassins as he closes in on powerful Kananga (Yaphet Kotto). Known on the streets as Mr. Big, Kananga is coordinating a global threat, using tons of self-produced heroin. As Bond tries to unravel the mastermind's plan, he meets Solitaire (Jane Seymour), a beautiful tarot-card reader, whose magic is crucial to the crime lord.",133534927199023324944358649365997387110
National Security,0,"Earl Montgomery (Martin Lawrence), a bombastic police academy reject, and Hank Rafferty (Steve Zahn), a disgraced, mild-mannered cop, can't seem to escape each other. They met on opposite sides of the law during a routine traffic stop that escalated out of control; now as lowly security guards they're thrown together to bust a smuggling operation.",133534932744994700942862280914073910630
Batman: Mask of the Phantasm,0,"In this animated feature set in the 1940s, the troubled yet heroic Batman (Kevin Conroy) is pitted against a mysterious figure who is rubbing out Gotham City's most dangerous criminals, and who many believe is the caped crusader himself. Batman's alter ego, millionaire Bruce Wayne, is about to get married to the lovely Andrea Beaumont (Dana Delany), who helps him recover from his need to avenge his parents' murder -- meaning that his crime-fighting days may be numbered.",133534939083247702084009288397589937510
The Jesus Rolls,0,"Hours after his release from prison, Jesus Quintana pairs up with fellow misfits Petey and Marie for a freewheeling joyride of petty crime and romance.",133534951759753704366303303364621991270
Never Say Never Again,0,"An aging James Bond (Sean Connery) makes an uncharacteristic mistake during a routine training mission, leading M (Edward Fox) to believe that the legendary British Intelligence spy is now past his prime. M indefinitely suspends Bond from active duty. However, when SPECTRE member Fatima Bush (Barbara Carrera) and her fellow terrorists successfully steal two nuclear missiles from the U.S. military, M must reinstate Bond, as he is the only agent who can beat SPECTRE at their own game of espionage.",133534957305725080364806934912698514790
Crazy Samurai: 400 vs 1,0,"When a master samurai arrives to duel the disgraced Yoshioka dojo, he walks into an ambush. In the world's first 77-minute, one-take action film sequence, Miyamoto Musashi (Tak Sakaguchi) fights for his life against 400 warriors, earning a place in history as the CRAZY SAMURAI MUSASHI.",133534963643978081505953942396214541670
On Her Majesty's Secret Service,0,"Agent 007 (George Lazenby) and the adventurous Tracy Di Vicenzo (Diana Rigg) join forces to battle the evil SPECTRE organization in the treacherous Swiss Alps. But the group's powerful leader, Ernst Stavro Blofeld (Telly Savalas), is launching his most calamitous scheme yet: a germ warfare plot that could kill millions!",133534969189949457504457573944291065190
Battle for Saipan,0,"Casper Van Dien (Alita: Battle Angel) and Louis Mandylor (Rambo: Last Blood) star in this edge-of-your-seat WWII epic. On July 7th, 1944, a US Army hospital on the remote island of Saipan is overrun by Japanese forces during a relentless attack. Outgunned and surrounded by the enemy, a lone medic (Van Dien) puts it all on the line to lead a band of wounded warriors to safety.",133534974735920833502961205492367588710
The Forbidden Kingdom,0,"Jason (Michael Angarano), an American teenager, is a huge fan of Hong Kong cinema and old kung-fu movies. While browsing in a Chinatown pawn shop, he discovers the stick weapon of an ancient Chinese sage and warrior, the Monkey King. The magic relic transports Jason back in time, where he joins a band of legendary martial-artists on a quest to free the imprisoned man.",133534981074173834644108212975883615590
Doom,0,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge (Karl Urban), is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm (Rosamund Pike), who is related to team member Reaper (The Rock), informs them all that the chromosome can mutate humans into monsters -- and is highly infectious.",133534992166116586641115476072036662630
Into the Blue,0,"Divers Sam (Jessica Alba) and Jared (Paul Walker) love life in the Bahamas. But when friends Bryce (Scott Caan) and Amanda (Ashley Scott) visit, the couple take them on a treasure-hunting trip, where they discover more than they bargained for: a downed airplane full of cocaine alongside a famous shipwreck. Unknown to Sam and Jared, Bryce makes a fatal mistake and decides to sell the cocaine -- which angers a group of drug dealers, who are now in hot pursuit of the divers.",133535004050340963780766115103629213030
The 13th Warrior,0,"A Muslim ambassador exiled from his homeland, Ahmad ibn Fadlan (Antonio Banderas) finds himself in the company of Vikings. While the behavior of the Norsemen initially offends ibn Fadlan, the more cultured outsider grows to respect the tough, if uncouth, warriors. During their travels together, ibn Fadlan and the Vikings get word of an evil presence closing in, and they must fight the frightening and formidable force, which was previously thought to exist only in legend.",133535010388593964921913122587145239910
10 Minutes Gone,0,A man loses his memory after a bank heist goes wrong.,133535015934565340920416754135221763430
The Belko Experiment,0,"An ordinary day at the office becomes a horrific quest for survival when 80 employees (John Gallagher Jr., Tony Goldwyn, Adria Arjona) at the Belko Corp. in Bogotá, Colombia, learn that they are pawns in a deadly game. Trapped inside their building, a voice over an intercom tells the frightened staffers that two workers must be killed within 30 minutes. When another ultimatum follows, friends become enemies and new alliances take shape, as only the strongest will remain alive at the end.",133535022272818342061563761618737790310
Blackout,0,"After waking up in a Mexican hospital with no memory of his past, a man finds himself being hunted by various cartel factions who are all looking for something he stole.",133535027818789718060067393166814313830
Accident Man,0,"Mike Fallon is a seasoned hit man who is known for making his target's death look like an accident. When Fallon's girlfriend turns up dead, he goes after his old colleagues to find the one responsible.",133535034157042719201214400650330340710
The Spy Who Loved Me,0,"In a globe-trotting assignment that has him skiing off the edges of cliffs and driving a car deep underwater, British super-spy James Bond (Roger Moore) unites with sexy Russian agent Anya Amasova (Barbara Bach) to defeat megalomaniac shipping magnate Karl Stromberg (Curt Jurgens), who is threatening to destroy New York City with nuclear weapons. Bond's most deadly adversary on the case is Stromberg's henchman, Jaws (Richard Kiel), a seven-foot giant with terrifying steel teeth.",133535039703014095199718032198406864230
Batman: Soul of the Dragon,0,"Set in the midst of the swinging 1970s, this Elseworlds adventure finds Bruce Wayne training under a master sensei. It is here that Bruce, along with other elite students, is forged in the fire of the martial arts discipline. The lifelong bonds they form will be put to the test when a deadly menace arises from their past. It will take the combined efforts of Batman and world-renowned martial artists Richard Dragon, Ben Turner and Lady Shiva to battle the monsters of this world and beyond!",133535046041267096340865039681922891110
Elite Squad 2,0,"Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura).",133535051587238472339368671229999414630
Project Legion,0,"Feral creatures that prey on humans have descended upon the city. A furious fight for survival begins as the outside world descends into chaos and a former Marine (UFC superstar Donald ""Cowboy"" Cerrone), barricaded inside his apartment, prepares to come out fighting.",133535057133209848337872302778075938150
Run Lola Run,0,"In this visually and conceptually impressive film, two-bit Berlin criminal Manni (Moritz Bleibtreu) delivers some smuggled loot for his boss, Ronnie (Heino Ferch), but accidentally leaves the 100,000 mark payment in a subway car. Given 20 minutes to come up with the money, he calls his girlfriend, Lola (Franka Potente), who sprints through the streets of the city to try to beg the money out of her bank manager father (Herbert Knaup) and get to Manni before he does something desperate.",133535063471462849479019310261591965030
Pride and Prejudice and Zombies,0,"In the 19th century, a mysterious plague turns the English countryside into a war zone. No one is safe as the dead come back to life to terrorize the land. Fate leads Elizabeth Bennet (Lily James), a master of martial arts and weaponry, to join forces with Mr. Darcy (Sam Riley), a handsome but arrogant gentleman. Elizabeth can't stand Darcy, but respects his skills as a zombie killer. Casting aside their personal differences, they unite on the blood-soaked battlefield to save their country.",133535090409038104328894092066535079270
Haywire,0,"Mallory Kane (Gina Carano) is a highly trained operative for a government security contractor. Her missions take her to the world's most dangerous areas. After Mallory successfully frees a hostage journalist, she's betrayed and left for dead by someone in her own agency. Knowing her survival depends on learning the truth behind the double-cross, Mallory uses her black-ops training to set a trap. But when things go awry, Mallory knows she'll die unless she can turn the tables on her adversary.",133535095955009480327397723614611602790
The Legend of Zorro,0,"A secret society, the Knights of Aragon, seeks to keep the United States from achieving manifest destiny -- and only the legendary Zorro (Antonio Banderas) can stop them. Unfortunately, Zorro, also known as Don Alejandro de la Vega, has problems of his own: His wife, Elena (Catherine Zeta-Jones), is divorcing him for spending too much time pursuing heroics and not enough being a father to their young son. But it isn't long before the whole family gets caught up in stopping the Knights.",133535102293262481468544731098127629670
Desperado,0,"Mariachi (Antonio Banderas) plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho (Joaquim de Almeida), for an action-packed, bullet-riddled showdown. With the help of his best friend (Steve Buscemi) and a beautiful bookstore owner (Salma Hayek), the Mariachi tracks Bucho, takes on his army of desperados, and leaves a trail of blood of his own.",133535108631515482609691738581643656550
G-Force,0,"Armed with the latest high-tech spy gear, a guinea pig named Darwin (Sam Rockwell) and his team of specially trained rodents are often the last line of defense against chaos and destruction. But when the government shuts them down and ships them off to a pet shop, Darwin and his gang will have to find a way to break out and prevent a mad billionaire (Bill Nighy) from taking over the world.",133535114177486858608195370129720180070
Red 2,0,"Former CIA black-ops agent Frank Moses (Bruce Willis) and his old partner, Marvin Boggs (John Malkovich), are caught in the grip of retirement -- but that soon changes when a powerful Cold War weapon known as Nightshade resurfaces decades after its disappearance. With assassins hot on their trail, Frank and his team set out to find the one scientist (Anthony Hopkins) who can unravel the mystery of Nightshade and help them save themselves -- and the world.",133535119723458234606699001677796703590
Elektra,0,"Assassin-for-hire Elektra (Jennifer Garner) works for a mysterious international organization known as the Hand, for which she kills her targets without question, and in a conspicuous red bustier, no less. When the Hand asks her to kill Mark Miller (Goran Visnjic) and his daughter, Abby (Kirsten Prout), while they're on holiday, Elektra's conscience kicks in and she decides to protect her targets rather than eliminate them. Of course, the Hand isn't so willing to let them off the hook.",133535131607682611746349640709389253990
Miss Congeniality,0,"When a terrorist threatens to bomb the Miss United States pageant, the FBI rushes to find a female agent to go under cover as a contestant. Unfortunately, Gracie is the only female FBI agent who can ""look the part"" despite her complete lack of refinement and femininity. She prides herself in being ""just one of the boys"" and is horrified at the idea of becoming a girly girl.",133535137945935612887496648192905280870
